id,anger,frustration,disappointment,helplessness,anxiety,split,n_emotions,cv_fold
CF004,0,1,0,0,1,train,2,3.0
CF005,0,0,0,0,1,train,1,2.0
CF006,1,0,0,0,0,train,1,3.0
CF007,1,1,1,0,0,train,3,2.0
CF008,1,0,0,0,1,test,2,
CF009,1,1,0,0,0,test,2,
CF010,0,1,1,0,1,train,3,1.0
CF011,1,0,0,0,1,train,2,4.0
CF012,1,0,1,0,1,test,3,
CF013,1,0,0,0,1,train,2,4.0
CF014,1,1,0,0,0,train,2,2.0
CF015,1,0,0,1,1,train,3,5.0
CF016,1,0,0,0,0,train,1,4.0
CF017,1,1,0,0,0,test,2,
CF018,1,0,0,0,0,train,1,3.0
CF019,1,0,0,0,0,train,1,1.0
CF020,1,0,0,0,0,train,1,2.0
CF021,1,1,0,1,0,test,3,
CF022,1,1,0,0,1,train,3,3.0
CF023,0,1,0,0,0,test,1,
CF024,1,0,1,1,0,train,3,2.0
CF025,1,0,0,0,1,train,2,2.0
CF026,1,1,0,0,1,test,3,
CF027,0,1,0,0,0,train,1,1.0
CF028,1,0,0,0,0,train,1,2.0
CF029,1,1,0,0,1,train,3,1.0
CF030,0,1,0,0,0,train,1,1.0
CF031,0,0,0,0,1,train,1,5.0
CF032,1,0,0,1,0,train,2,5.0
CF033,0,0,0,0,1,train,1,5.0
CF034,1,0,0,1,0,train,2,1.0
CF035,1,0,0,0,1,test,2,
CF036,1,0,0,1,1,train,3,2.0
CF037,1,1,1,1,0,train,4,5.0
CF038,1,1,0,0,0,train,2,2.0
CF039,1,0,0,0,1,test,2,
CF040,0,0,1,0,0,test,1,
CF041,1,0,0,0,1,train,2,4.0
CF042,1,0,0,0,0,test,1,
CF043,1,1,0,1,0,train,3,4.0
CF044,1,0,0,0,1,train,2,1.0
CF045,1,0,0,0,0,train,1,5.0
CF046,1,0,0,0,0,train,1,1.0
CF047,0,0,0,0,1,train,1,4.0
CF048,1,0,0,1,1,train,3,3.0
CF049,1,1,0,0,0,train,2,5.0
CF050,0,0,0,0,1,train,1,2.0
CF051,0,0,0,0,1,train,1,2.0
CF052,1,0,0,1,0,train,2,1.0
CF053,1,0,0,0,1,train,2,5.0
CF054,1,0,0,0,1,train,2,4.0
CF055,1,0,0,1,0,train,2,3.0
CF056,1,1,0,0,0,test,2,
CF057,1,1,0,0,0,train,2,1.0
CF058,1,0,0,0,1,train,2,5.0
CF059,1,1,0,0,1,test,3,
CF060,1,0,0,0,0,test,1,
CF061,1,0,0,0,1,test,2,
CF062,1,0,0,0,0,train,1,5.0
CF063,1,0,0,0,0,test,1,
CF064,1,1,0,0,0,train,2,5.0
CF065,1,0,0,1,1,train,3,3.0
CF066,1,0,0,0,0,train,1,2.0
CF067,1,0,0,0,0,train,1,4.0
CF068,1,0,0,1,0,train,2,3.0
CF069,1,1,0,1,0,test,3,
CF070,1,0,0,1,0,train,2,4.0
CF071,0,1,0,0,1,train,2,5.0
CF072,0,0,0,0,1,train,1,1.0
CF073,1,0,0,0,1,train,2,5.0
CF074,1,0,0,1,1,train,3,1.0
CF075,1,1,0,0,0,train,2,4.0
CF076,1,0,1,1,1,train,4,1.0
CF077,1,1,0,1,0,train,3,1.0
CF078,1,1,0,0,0,train,2,4.0
CF079,1,0,0,0,1,train,2,1.0
CF080,1,1,0,0,0,train,2,2.0
CF081,1,0,0,0,0,train,1,1.0
CF082,1,1,0,0,1,test,3,
CF083,1,0,0,0,1,train,2,5.0
CF084,1,1,0,1,0,test,3,
CF085,1,0,0,1,0,train,2,4.0
CF086,0,1,0,0,0,train,1,1.0
CF087,0,0,0,0,1,train,1,3.0
CF088,1,0,0,1,0,train,2,3.0
CF089,1,1,0,0,1,train,3,3.0
CF090,0,1,0,1,0,train,2,2.0
CF091,1,1,0,0,1,train,3,1.0
CF092,1,0,0,0,0,train,1,1.0
CF093,1,0,1,0,1,train,3,2.0
CF094,1,0,0,0,0,test,1,
CF095,1,1,0,0,1,train,3,3.0
CF096,1,0,0,0,1,train,2,4.0
CF097,1,1,0,0,1,train,3,2.0
CF098,1,1,0,1,0,test,3,
CF099,1,0,0,0,1,test,2,
CF100,0,0,0,0,1,train,1,4.0
CF101,1,0,0,1,0,train,2,1.0
CF102,1,0,1,1,0,train,3,4.0
CF103,0,1,0,1,0,train,2,2.0
CF104,1,1,0,1,1,test,4,
CF105,1,0,0,0,0,test,1,
CF106,1,1,0,0,1,train,3,2.0
CF107,1,0,0,1,0,train,2,2.0
CF108,1,0,0,0,0,train,1,1.0
CF109,1,1,0,1,1,train,4,2.0
CF110,1,0,0,0,0,train,1,1.0
CF111,1,0,0,0,1,train,2,4.0
CF112,1,1,0,0,0,train,2,3.0
CF113,0,0,1,0,0,test,1,
CF114,0,0,0,1,0,train,1,4.0
CF115,1,0,0,0,1,train,2,3.0
CF116,1,0,0,1,0,train,2,5.0
CF117,1,0,1,0,1,train,3,1.0
CF118,1,1,0,0,0,train,2,4.0
CF119,1,0,0,0,1,train,2,5.0
CF120,0,0,0,0,1,train,1,5.0
CF121,1,0,0,0,0,train,1,1.0
CF122,1,1,0,1,0,train,3,4.0
CF123,1,0,0,0,0,train,1,2.0
CF124,1,0,0,0,1,train,2,4.0
CF125,1,1,0,1,0,train,3,4.0
CF126,0,0,0,0,1,train,1,1.0
CF127,1,1,1,0,0,test,3,
CF128,1,0,0,0,0,test,1,
CF129,1,0,0,0,0,train,1,3.0
CF130,1,1,0,0,1,train,3,2.0
CF131,0,0,0,0,1,train,1,1.0
CF132,1,0,0,0,1,train,2,4.0
CF133,1,0,0,1,1,train,3,2.0
CF134,1,1,0,0,1,train,3,5.0
CF135,1,0,1,0,0,test,2,
CF136,0,1,1,0,1,train,3,2.0
CF137,1,0,0,0,1,train,2,1.0
CF138,1,0,0,0,0,train,1,4.0
CF139,1,1,0,0,0,train,2,2.0
CF140,1,1,0,0,0,train,2,3.0
CF141,0,0,1,0,1,train,2,3.0
CF142,1,0,1,0,1,test,3,
CF143,1,1,1,0,0,train,3,4.0
CF144,1,0,0,0,1,train,2,4.0
CF145,0,0,0,0,1,train,1,2.0
CF146,1,1,0,1,1,train,4,3.0
CF147,1,0,0,0,0,train,1,3.0
CF148,1,0,0,0,0,train,1,2.0
CF149,0,1,1,0,0,train,2,4.0
CF150,1,1,0,0,1,train,3,1.0
